query,iter0_CP,iter0_AA,iter0_FA,iter0_KC,iter0_SC,iter0_AD,iter1_CP,iter1_AA,iter1_FA,iter1_KC,iter1_SC,iter1_AD,iter2_CP,iter2_AA,iter2_FA,iter2_KC,iter2_SC,iter2_AD,iter3_CP,iter3_AA,iter3_FA,iter3_KC,iter3_SC,iter3_AD,iter4_CP,iter4_AA,iter4_FA,iter4_KC,iter4_SC,iter4_AD
"Autumn coloured, light, ladies' leather jacket; sharp cut with a slight waist; falls just below the hip; discreet pockets, buttons, zippers (cannot be seen). Please provide some product recommendations for me",0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,0.83,1.0,0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,0.83,0.83,0.83,0.83,1.0,1.0,0.83,0.83,0.67
I would choose a Dell laptop with plenty of memory and a newer model because they're faster Please provide some product recommendations for me,0.83,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0
I would order the newest macbook pro and probably get a pink laptop case to match. Please provide some product recommendations for me,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,1.0,0.5,0.33,0.5,0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,0.67,0.67,0.83,1.0,1.0,1.0,0.5,0.5
"I would buy a dell laptop, i would go to there website and customize it to my needs with boosted ram and bigger storage. Please provide some product recommendations for me",0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,0.83,0.67,0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,0.83,0.83
Apple MacBook Pro with as high a spec as I could afford Please provide some product recommendations for me,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,1.0,1.0,0.5,0.5,0.83,1.0,1.0,1.0,0.83,0.83,0.83,0.83,0.83,0.0,0.17,0.0,0.83,1.0,1.0,0.0,0.0,0.0
Decent screen size with an excellent battery life. I need a full number pad because I need that when I work from home. It will need a discreet graphics card instead of an integrated GPU with a decent size SSD. The resolution will also need to be 1080p. Some other things I would look for would be blu-tooth and built in wifi adapter. Please provide some product recommendations for me,0.83,0.83,0.83,1.0,0.67,0.67,0.83,1.0,1.0,0.83,0.83,0.5,0.83,1.0,1.0,0.67,0.67,0.5,0.83,1.0,1.0,1.0,0.5,0.5,0.83,0.83,0.83,0.67,0.5,0.5
"It would be a windows laptop not an Apple Mac. It'll be the laptop that is issued by work, probably black Dell laptop. Might be second hand might be brand new, depends what the IT department has available. Please provide some product recommendations for me",0.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0
"patagonia sweater jacket, it would be biodegradable, fairly made, and good quality. Please provide some product recommendations for me",0.83,1.0,1.0,0.67,0.67,0.5,0.83,0.83,0.83,0.83,0.67,0.5,0.83,1.0,1.0,1.0,0.83,0.67,0.83,1.0,1.0,1.0,0.83,0.67,0.83,1.0,1.0,0.83,0.67,0.5
I'd like to get a Microsoft Surface laptop. It runs Windows 10 and has a solid state drive so it loads very quickly. It's also surprisingly light for how powerful it is so it fits in my backpack easily. Please provide some product recommendations for me,0.83,1.0,1.0,0.83,0.83,0.83,0.83,1.0,1.0,0.67,0.83,0.83,0.83,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0
"A light jacket, quilted looking, dark blue and with a zipper Please provide some product recommendations for me",0.83,1.0,1.0,0.33,0.33,0.17,0.83,1.0,1.0,0.67,0.67,0.33,0.83,1.0,1.0,0.67,0.67,0.17,0.83,1.0,0.83,1.0,0.67,0.33,0.83,1.0,1.0,0.83,0.67,0.67
It will be warm without being too heavy. It has pockets on bith sides and is easily machine washable. It is avaialable in a multi selection of colours and is also waterproof. Please provide some product recommendations for me,0.83,1.0,1.0,0.83,0.17,0.17,0.83,0.83,0.83,0.83,0.67,0.5,0.83,1.0,1.0,1.0,0.83,0.5,0.83,1.0,1.0,1.0,0.83,1.0,0.83,1.0,1.0,1.0,0.67,0.5
"I need a new warm jacket because I have lost mine. I would like one similar, with a flowery pattern and nice and warm because it gets cold here. I would probably need a cheaper one though because my current one was a present and I can't afford a new one at the same price. Please provide some product recommendations for me",0.83,1.0,1.0,0.5,0.83,0.67,0.83,1.0,1.0,0.67,0.67,0.5,0.83,1.0,1.0,0.67,0.83,0.83,0.83,1.0,1.0,0.67,0.5,0.33,1.0,1.0,1.0,0.83,0.83,1.0
I would choose an ASUS laptop with a solid state hard drive and 15.6 screen. Please provide some product recommendations for me,0.83,1.0,1.0,0.83,0.67,0.5,0.83,1.0,1.0,1.0,0.83,0.67,0.83,1.0,1.0,1.0,0.83,0.67,0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,0.83,0.83
"I would be looking for a waterproof jacket, preferably breathable.  It would have to be in a bright cheerful colour with a warm lining. Please provide some product recommendations for me",0.83,1.0,1.0,1.0,0.83,0.67,0.83,1.0,1.0,1.0,0.83,0.67,0.83,0.83,0.83,0.67,0.5,0.5,0.83,1.0,1.0,1.0,0.83,0.67,0.83,1.0,1.0,0.83,0.67,0.5
"I'm looking for a jacket that is lightweight, warm and waterproof. Comfort is my main goal as is it being reasonably priced. Preferably purple too! Please provide some product recommendations for me",0.83,1.0,1.0,0.83,0.83,0.67,0.83,1.0,1.0,0.83,0.83,0.83,0.83,0.83,0.83,0.67,0.83,0.67,0.83,1.0,1.0,0.67,0.67,0.5,0.83,1.0,1.0,0.5,0.83,0.5
I would buy a lightweight laptop that ran on microsoft not apple as its easier for work. I'd not consider a hybrid or 2 in 1 type of device as I dont believe they are as robust Please provide some product recommendations for me,0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,0.83,0.83,1.0,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,0.83,1.0
I would buy an apple mac book air as they are light fast and easy to use Please provide some product recommendations for me,0.83,1.0,1.0,0.83,0.83,0.67,0.83,1.0,1.0,0.83,0.83,0.67,0.83,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,0.83,0.67,0.83,1.0,1.0,1.0,0.83,0.83
I would want it to be relatively cheap lightweight and fast Please provide some product recommendations for me,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,1.0,0.67,0.83,0.83,0.83,1.0,1.0,1.0,0.83,1.0,0.83,1.0,1.0,1.0,0.83,0.67,0.83,1.0,1.0,1.0,0.83,0.83
I'm just looking for a functional PC with a high amount of RAM and a newer processor with great performance. Everything else is secondary. Please provide some product recommendations for me,0.83,1.0,1.0,0.67,1.0,0.5,0.83,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83,0.83,0.67,0.83,1.0,1.0,1.0,0.83,0.83
A dark grey apple macbook pro. Probably with a retina screen for photo editing. Please provide some product recommendations for me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,1.0,1.0,1.0,1.0
