article_id,iter0_CP,iter0_AA,iter0_FA,iter0_KC,iter0_SC,iter0_AD,iter1_CP,iter1_AA,iter1_FA,iter1_KC,iter1_SC,iter1_AD,iter2_CP,iter2_AA,iter2_FA,iter2_KC,iter2_SC,iter2_AD,iter3_CP,iter3_AA,iter3_FA,iter3_KC,iter3_SC,iter3_AD,iter4_CP,iter4_AA,iter4_FA,iter4_KC,iter4_SC,iter4_AD,iter5_CP,iter5_AA,iter5_FA,iter5_KC,iter5_SC,iter5_AD,iter6_CP,iter6_AA,iter6_FA,iter6_KC,iter6_SC,iter6_AD,iter7_CP,iter7_AA,iter7_FA,iter7_KC,iter7_SC,iter7_AD
how to propagate a monstera albo cutting in water,0.915,1.0,1.0,0.7925,0.77,0.6888,0.9575,1.0,1.0,0.7925,0.7275,0.77,0.9362,1.0,1.0,0.895,0.8125,0.8125,0.8938,1.0,1.0,0.9375,0.8312,0.7925,0.9575,1.0,1.0,0.9575,0.8538,0.8125,0.9575,1.0,1.0,0.9375,0.8525,0.8312,0.9788,1.0,1.0,0.9588,0.8938,0.875,0.9575,1.0,1.0,0.9788,0.8725,0.915
best dog food for golden retrievers with skin allergies,0.2075,0.25,0.25,0.25,0.2288,0.2088,0.5612,0.6038,0.5825,0.3975,0.3763,0.2912,0.7688,0.875,0.875,0.4788,0.4588,0.3962,0.8725,1.0,1.0,0.77,0.625,0.565,0.9362,1.0,1.0,0.8538,0.7688,0.665,0.8938,1.0,1.0,0.895,0.7275,0.6888,0.9362,0.9588,1.0,0.915,0.79,0.73,0.8538,0.875,0.875,0.8325,0.6862,0.6875
best supplement for joint pain,0.9788,1.0,1.0,1.0,0.9362,0.9575,0.9362,1.0,1.0,1.0,0.9575,0.9788,0.9788,1.0,1.0,0.9788,0.8525,0.8525,0.9575,0.9788,0.9788,0.9788,0.915,0.915,1.0,1.0,1.0,1.0,0.9362,0.9362,1.0,1.0,1.0,1.0,0.8938,0.8938,0.8538,1.0,1.0,1.0,0.8738,0.8738,1.0,1.0,0.9375,1.0,0.915,0.9362
Is email marketing good for small businesses?,0.9788,1.0,1.0,0.8962,0.9788,1.0,0.9788,1.0,1.0,0.875,0.875,0.875,0.9788,0.9788,0.9788,0.8962,0.8962,0.8962,0.9788,1.0,1.0,0.8962,0.9588,0.9788,0.9788,1.0,1.0,0.875,0.8125,0.8325,0.9788,0.9788,0.9788,0.9162,0.9375,0.9375,0.9575,1.0,1.0,1.0,0.9575,0.9788,0.9788,1.0,1.0,0.9788,1.0,1.0
"It's a simple, light bomber-style jacket has a few pockets in the front. It's not heavy and bulky, just light enough to be sort of a wind breaker. Please provide some product recommendations for me",0.8538,1.0,1.0,0.9788,0.9162,0.9375,0.9575,1.0,1.0,0.9575,0.875,0.855,0.9788,1.0,1.0,1.0,0.915,0.9162,0.8938,1.0,1.0,0.9788,0.9575,0.9375,0.9575,1.0,1.0,1.0,0.9575,0.9575,0.9362,1.0,1.0,1.0,0.9375,0.9375,0.79,1.0,1.0,1.0,0.915,0.915,0.9575,0.9788,0.9788,1.0,0.9362,0.9375
"This laptop will have High spec, good memory, lots of power, it will be a 2 in 1 , detatcgable keyboard, maybe sony, samsung, Lenovo, probably 4k capabilities, wide screen, at least 12 inches, I estimate £500 Please provide some product recommendations for me",0.9788,1.0,1.0,0.875,0.8325,0.8538,1.0,1.0,1.0,1.0,0.9575,0.9575,0.9575,1.0,1.0,1.0,0.9575,0.9788,1.0,1.0,1.0,1.0,0.9788,0.9788,0.8538,1.0,1.0,1.0,0.875,0.8962,0.9788,1.0,1.0,0.9788,0.8125,0.8338,1.0,1.0,1.0,1.0,0.9575,0.9575,0.9788,1.0,1.0,1.0,0.8538,0.8962
Are women more demanding these days? If so what problems is it causing for generation Y?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9788,0.9788,0.9788,1.0,1.0,1.0,1.0,1.0,0.9788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9788,1.0,1.0,1.0,0.9788,0.9588
What is the worst that could happen with Trump being president?,0.9575,1.0,1.0,0.875,0.875,0.855,0.9575,1.0,1.0,0.8738,0.9362,0.8962,0.9788,1.0,1.0,0.8962,0.8962,0.875,0.9788,1.0,1.0,1.0,0.9575,0.9575,0.9788,1.0,1.0,1.0,0.9362,0.9575,0.9788,1.0,1.0,1.0,0.9575,0.9375,0.8325,1.0,1.0,1.0,0.9588,0.9588,1.0,1.0,1.0,0.9788,0.9162,0.9362
In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1.0,1.0,1.0,1.0,0.9362,0.9788,1.0,1.0,1.0,1.0,0.8938,0.9788,0.8325,0.875,0.875,0.875,0.7062,0.77,1.0,1.0,1.0,1.0,0.8938,0.9362,1.0,1.0,1.0,1.0,0.8938,0.895,0.9788,1.0,1.0,1.0,0.8325,0.875,0.875,0.9788,1.0,1.0,0.7912,0.8125,0.9788,1.0,1.0,1.0,0.915,0.9575
Black Book starred the actress and writer of what heritage?,0.9788,1.0,1.0,0.9375,0.9788,0.8962,0.9788,1.0,1.0,1.0,0.9788,0.9375,0.9788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9788,0.9788,0.9788,1.0,1.0,1.0,0.9788,0.9788,0.9788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9788,0.9788,0.9788,1.0,1.0,1.0,0.9788,0.9788
