query,source
"It's a simple, light bomber-style jacket has a few pockets in the front. It's not heavy and bulky, just light enough to be sort of a wind breaker. Please provide some product recommendations for me",VACOS
"This laptop will have High spec, good memory, lots of power, it will be a 2 in 1 , detatcgable keyboard, maybe sony, samsung, Lenovo, probably 4k capabilities, wide screen, at least 12 inches, I estimate £500 Please provide some product recommendations for me",VACOS
I would order the newest macbook pro and probably get a pink laptop case to match. Please provide some product recommendations for me,VACOS
"I'll get something loose, and easy to move around in, preferably blue. Please provide some product recommendations for me",VACOS
I want an apple laptop which is fast and reliable. Something which is fast and efficient and something that looks great quality and attractive. Please provide some product recommendations for me,VACOS
"i would buy the fastest laptop, it would be an Apple, but one that will last and be good value for money Please provide some product recommendations for me",VACOS
I would want an apple laptop because they are the most reliable in my opinion Please provide some product recommendations for me,VACOS
A workhorse; something that can keep up with a traditional desktop PC and provide the power I need for graphic design and gaming. Please provide some product recommendations for me,VACOS
The jacket I would choose as a replacement is a leather jacket Please provide some product recommendations for me,VACOS
"I would choose a better laptop. I would want something with a good amount of RAM, and some processing power so that programs like Word and Excel don't slowdown. Memory means little to me, as I have external harddrives I can just transfer any big files to them, and much of the programs that I do use make use of Cloud saves. Please provide some product recommendations for me",VACOS
blue suede zip up jacket with warm lining and pockets Please provide some product recommendations for me,VACOS
"Black, mid-weight jacket with cell phone pocket and headphone jack in top pocket Please provide some product recommendations for me",VACOS
"I would like a jacket which is approximately 40inch chest, ideally the colour blue, has multiple pockets and is relatively lightweight to enable me to use it in a warmer climate. Please provide some product recommendations for me",VACOS
"One to last a few years, with a powerful GPU for gaming that would be able to handle virtual reality programs. It would likely require a lot of storage space as well, but I would choose one with a solid state drive versus a hard drive as the former has no moving parts and less chance of failure. Please provide some product recommendations for me",VACOS
"I would purchase a jacket that is suitable for both warm and cool weather, it would have long sleeves and a zip down the middle rather than buttons.
It would have a colour that could be popped and it would be a dark colour. Please provide some product recommendations for me",VACOS
id buy a laptop with a large internal hard drive so I can store plenty of files on it. id buy one that was capable of running windows. it would need to have good processing power and load rapidly. Please provide some product recommendations for me,VACOS
I would buy a lightweight laptop that ran on microsoft not apple as its easier for work. I'd not consider a hybrid or 2 in 1 type of device as I dont believe they are as robust Please provide some product recommendations for me,VACOS
I would buy an apple mac book air as they are light fast and easy to use Please provide some product recommendations for me,VACOS
I want to choose a laptop that is easy to use and portable. I want it to be  intuitive and simple. Please provide some product recommendations for me,VACOS
"I want to but a laptop with a 17 inch screen, a decent processor and a solid state hard drive. I need a minimum of 8 gigs of memory.  Graphics are not really that important. Please provide some product recommendations for me",VACOS
"I want a Solid state hard drive, minimum 16gb of ram, a pentium 9 processor at 4ghz and over, 3.1 USB ports, minimum of 4, detacheable screen, 4k resolution. Please provide some product recommendations for me",VACOS
As I work outside it needs to be very warm and waterproof or shower proof. It needs pockets as I don’t carry and handbag to work. I’m a fan of navy so I’ll like it to be navy and go in at the waist to be flattering. Please provide some product recommendations for me,VACOS
"Long, knee length, woollen coat. Preferably beige, camel or a neutral colour. Warm and smart looking for work. Please provide some product recommendations for me",VACOS
"I would like to get a new gaming laptop. I'm not knowledgeable enough to go into the specific specs, but it should have one of the highest tier of graphics cards. I would like it to be wide screened. Black, or  maybe a fun colour depending what is available.I prefer a wider screen. The keyboard should have the keys that are a little bit more flat as opposed to the raised, boxier keys. A webcam would be nice but optional. It should definitely have the proper plugin for my headset. Please provide some product recommendations for me",VACOS
"I would want a black bomber jacket, with a hood and some texuring. Please provide some product recommendations for me",VACOS
"I would buy a laptop that's got a webcam, loads of memory space and light to carry. Please provide some product recommendations for me",VACOS
I would choose a parka coat which would have a hood with fake fur around it. The coat would be knee length and have a gold zip. The coat would be Khaki green and made of waterproof material. It would have pockets at the front that would fit my phone and keys etc. Please provide some product recommendations for me,VACOS
"The jacket im looking to buy needs to be hip length, waterproof and fully lined, in fashion and maybe worn for occasinally wear and going out attire Please provide some product recommendations for me",VACOS
